timestamp_saved,dataFechaActualizado,fuel,value
07/24/2023 10:36 PM,7/24/2023 10:30:30 PM,Bunker,19
07/24/2023 10:36 PM,7/24/2023 10:30:30 PM,Diesel,24
07/24/2023 10:36 PM,7/24/2023 10:30:30 PM,LNG,41
07/24/2023 10:36 PM,7/24/2023 10:30:30 PM,Coal,16
07/24/2023 10:36 PM,7/24/2023 10:30:30 PM,Renew,1
07/25/2023 02:41 AM,7/24/2023 10:35:30 PM,Bunker,19
07/25/2023 02:41 AM,7/24/2023 10:35:30 PM,Diesel,24
07/25/2023 02:41 AM,7/24/2023 10:35:30 PM,LNG,41
07/25/2023 02:41 AM,7/24/2023 10:35:30 PM,Coal,16
07/25/2023 02:41 AM,7/24/2023 10:35:30 PM,Renew,1
