timestamp_saved,timestamp,type,region_name,totalClients,totalClientsWithoutService,totalClientsWithService,percentageClientsWithoutService,percentageClientsWithService
07/21/2023 04:23 AM,07/21/2023 12:20 AM,totals,,1468223,2458,1465765,0.17,99.83
07/21/2023 04:23 AM,07/21/2023 12:20 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 04:23 AM,07/21/2023 12:20 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 04:23 AM,07/21/2023 12:20 AM,region,Carolina,141663,6,141657,0.0,100.0
07/21/2023 04:23 AM,07/21/2023 12:20 AM,region,Caguas,250514,1153,249361,0.46,99.54
07/21/2023 04:23 AM,07/21/2023 12:20 AM,region,Mayaguez,216605,529,216076,0.24,99.76
07/21/2023 04:23 AM,07/21/2023 12:20 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 04:23 AM,07/21/2023 12:20 AM,region,San Juan,253068,164,252904,0.06,99.94
07/21/2023 12:29 AM,07/21/2023 12:25 AM,totals,,1468223,2460,1465763,0.17,99.83
07/21/2023 12:29 AM,07/21/2023 12:25 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 12:29 AM,07/21/2023 12:25 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 12:29 AM,07/21/2023 12:25 AM,region,Carolina,141663,6,141657,0.0,100.0
07/21/2023 12:29 AM,07/21/2023 12:25 AM,region,Caguas,250514,1155,249359,0.46,99.54
07/21/2023 12:29 AM,07/21/2023 12:25 AM,region,Mayaguez,216605,529,216076,0.24,99.76
07/21/2023 12:29 AM,07/21/2023 12:25 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 12:29 AM,07/21/2023 12:25 AM,region,San Juan,253068,164,252904,0.06,99.94
07/21/2023 04:34 AM,07/21/2023 12:30 AM,totals,,1468223,2462,1465761,0.17,99.83
07/21/2023 04:34 AM,07/21/2023 12:30 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 04:34 AM,07/21/2023 12:30 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 04:34 AM,07/21/2023 12:30 AM,region,Carolina,141663,6,141657,0.0,100.0
07/21/2023 04:34 AM,07/21/2023 12:30 AM,region,Caguas,250514,1156,249358,0.46,99.54
07/21/2023 04:34 AM,07/21/2023 12:30 AM,region,Mayaguez,216605,529,216076,0.24,99.76
07/21/2023 04:34 AM,07/21/2023 12:30 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 04:34 AM,07/21/2023 12:30 AM,region,San Juan,253068,165,252903,0.07,99.93
07/21/2023 04:39 AM,07/21/2023 12:35 AM,totals,,1468223,2465,1465758,0.17,99.83
07/21/2023 04:39 AM,07/21/2023 12:35 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 04:39 AM,07/21/2023 12:35 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 04:39 AM,07/21/2023 12:35 AM,region,Carolina,141663,7,141656,0.0,100.0
07/21/2023 04:39 AM,07/21/2023 12:35 AM,region,Caguas,250514,1158,249356,0.46,99.54
07/21/2023 04:39 AM,07/21/2023 12:35 AM,region,Mayaguez,216605,529,216076,0.24,99.76
07/21/2023 04:39 AM,07/21/2023 12:35 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 04:39 AM,07/21/2023 12:35 AM,region,San Juan,253068,165,252903,0.07,99.93
07/21/2023 04:45 AM,07/21/2023 12:45 AM,totals,,1468223,2010,1466213,0.14,99.86
07/21/2023 04:45 AM,07/21/2023 12:45 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 04:45 AM,07/21/2023 12:45 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 04:45 AM,07/21/2023 12:45 AM,region,Carolina,141663,8,141655,0.01,99.99
07/21/2023 04:45 AM,07/21/2023 12:45 AM,region,Caguas,250514,1158,249356,0.46,99.54
07/21/2023 04:45 AM,07/21/2023 12:45 AM,region,Mayaguez,216605,95,216510,0.04,99.96
07/21/2023 04:45 AM,07/21/2023 12:45 AM,region,Ponce,212508,2,212506,0.0,100.0
07/21/2023 04:45 AM,07/21/2023 12:45 AM,region,San Juan,253068,143,252925,0.06,99.94
07/21/2023 04:51 AM,07/21/2023 12:50 AM,totals,,1468223,924,1467299,0.06,99.94
07/21/2023 04:51 AM,07/21/2023 12:50 AM,region,Arecibo,177369,234,177135,0.13,99.87
07/21/2023 04:51 AM,07/21/2023 12:50 AM,region,Bayamon,216496,370,216126,0.17,99.83
07/21/2023 04:51 AM,07/21/2023 12:50 AM,region,Carolina,141663,8,141655,0.01,99.99
07/21/2023 04:51 AM,07/21/2023 12:50 AM,region,Caguas,250514,140,250374,0.06,99.94
07/21/2023 04:51 AM,07/21/2023 12:50 AM,region,Mayaguez,216605,27,216578,0.01,99.99
